"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"168",2,"Back",5.7859206199646,7.25017537053103,0.253072042764283,-1.46425475056643
"169",2,"Back",7.07547187805176,7.92913053536739,0.120650420498977,-0.853658657315631
"170",2,"Back",9.23076915740967,5.14733201015119,-0.442372361135328,4.08343714725848
"171",2,"Back",8.67678928375244,4.54003711414167,-0.476760704256927,4.13675216961077
"172",2,"Back",9.27835083007812,5.95789330766364,-0.357871520836481,3.32045752241448
"173",2,"Back",5.8422589302063,7.43704206400457,0.272973716647981,-1.59478313379827
"174",2,"Back",3.55871891975403,6.46160400720472,0.815710696154483,-2.90288508745069
"175",2,"Back",3.55871891975403,8.27073699469572,1.32407705727638,-4.71201807494169
"176",2,"Back",4.02144765853882,9.87793839439286,1.45631405233358,-5.85649073585404
"177",2,"Back",9.34579467773438,7.06780069074705,-0.243745349169126,2.27799398698733
"178",2,"Back",3.62756967544556,5.52569999033711,0.523251235597124,-1.89813031489155
"179",2,"Back",4.35413646697998,3.93051436897266,-0.0972918743406182,0.42362209800732
"180",2,"Back",6.87022876739502,4.48742753232748,-0.34682996967669,2.38280123506754
"181",2,"Back",9.66183567047119,3.51636422345658,-0.636056299922032,6.14547144701461
"182",2,"Back",2.99401211738586,3.81927857771742,0.275638984738685,-0.82526646033156
"183",2,"Side",9.70088863372803,4.27215527104456,-0.559611966249036,5.42873336268347
"184",2,"Side",9.51374244689941,3.88139253928938,-0.592022533618792,5.63234990761003
"185",2,"Side",9.69827651977539,5.55519523349392,-0.427197685880937,4.14308128628147
"186",2,"Side",6.26959228515625,4.68467348965071,-0.252794555597811,1.58491879550554
"187",2,"Side",8.55920124053955,4.85790592885558,-0.432434663897522,3.70129531168397
"188",2,"Side",8.55513286590576,4.74621527849265,-0.445220155795891,3.80891758741311
"189",2,"Side",7.30519485473633,4.54085434247797,-0.378407498667349,2.76434051225836
"190",2,"Side",7.73195838928223,7.18550281467632,-0.0706749243973413,0.54645557460591
"191",2,"Side",6.03015041351318,8.47081146857227,0.404742981135218,-2.44066105505909
