"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)"
,,,,,,174.19999999999999,2.5957412719726562,,174.19999999999999,3.6228485107421875,
,,,,,,174.30000000000001,2.6110687255859375,,174.30000000000001,3.553863525390625,
,,,,,,174.40000000000001,2.634063720703125,,174.40000000000001,3.4823226928710938,
,,,,,,174.5,2.6570587158203125,,174.5,3.4388885498046875,
,,,,,,174.59999999999999,2.669830322265625,,174.59999999999999,3.3954544067382812,
,,,,,,174.69999999999999,2.6774978637695312,,174.69999999999999,3.32391357421875,
,,,,,,174.80000000000001,2.6596145629882812,,174.80000000000001,3.2549285888671875,
,,,,,,174.90000000000001,2.6391754150390625,,174.90000000000001,3.1910552978515625,
,,,,,,175,2.6417312622070312,,175,3.1195144653320312,
,,,,,,175.09999999999999,2.6468353271484375,,175.09999999999999,3.0479736328125,
,,,,,,175.19999999999999,2.6877212524414062,,175.19999999999999,2.9764328002929688,
,,,,,,175.30000000000001,2.7694778442382812,,175.30000000000001,2.9176712036132812,
,,,,,,175.40000000000001,2.8512420654296875,,175.40000000000001,2.864013671875,
,,,,,,175.5,2.9406661987304688,,175.5,2.8205795288085938,
,,,,,,175.59999999999999,3.058197021484375,,175.59999999999999,2.7873611450195312,
,,,,,,175.69999999999999,3.1910552978515625,,175.69999999999999,2.7490386962890625,
,,,,,,175.80000000000001,3.3034744262695312,,175.80000000000001,2.7004928588867188,
,,,,,,175.90000000000001,3.4082260131835938,,175.90000000000001,2.6596145629882812,
,,,,,,176,3.5283126831054688,,176,2.616180419921875,
,,,,,,176.09999999999999,3.6892776489257812,,176.09999999999999,2.5548553466796875,
,,,,,,176.19999999999999,3.9243392944335938,,176.19999999999999,2.506317138671875,
,,,,,,176.30000000000001,4.105743408203125,,176.30000000000001,2.4833221435546875,
,,,,,,176.40000000000001,4.1031875610351562,,176.40000000000001,2.4654312133789062,
,,,,,,176.5,4.0367584228515625,,176.5,2.4449920654296875,
,,,,,,176.59999999999999,4.031646728515625,,176.59999999999999,2.4219970703125,
,,,,,,176.69999999999999,4.0060958862304688,,176.69999999999999,2.4015579223632812,
,,,,,,176.80000000000001,3.9268951416015625,,176.80000000000001,2.3836746215820312,
,,,,,,176.90000000000001,3.8425827026367188,,176.90000000000001,2.3632354736328125,
,,,,,,177,3.7633743286132812,,177,2.3376846313476562,
,,,,,,177.09999999999999,3.6892776489257812,,177.09999999999999,2.3172454833984375,
,,,,,,177.19999999999999,3.6151809692382812,,177.19999999999999,2.3070220947265625,
,,,,,,177.30000000000001,3.5513076782226562,,177.30000000000001,2.2993621826171875,
,,,,,,177.40000000000001,3.4976577758789062,,177.40000000000001,2.2891387939453125,
,,,,,,177.5,3.4465560913085938,,177.5,2.2865829467773438,
,,,,,,177.59999999999999,3.387786865234375,,177.59999999999999,2.2891387939453125,
,,,,,,177.69999999999999,3.3034744262695312,,177.69999999999999,2.301910400390625,
,,,,,,177.80000000000001,3.23193359375,,177.80000000000001,2.322357177734375,
,,,,,,177.90000000000001,3.1808319091796875,,177.90000000000001,2.3274612426757812,
,,,,,,178,3.1348419189453125,,178,2.3172454833984375,
,,,,,,178.09999999999999,3.10418701171875,,178.09999999999999,2.3095779418945312,
