"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,22.699999999999999,3.129730224609375,
,,,,,,22.800000000000001,3.1450653076171875,
,,,,,,22.899999999999999,3.1655044555664062,
,,,,,,23,3.1987152099609375,
,,,,,,23.100000000000001,3.2523727416992188,
,,,,,,23.199999999999999,3.32391357421875,
,,,,,,23.300000000000001,3.4082260131835938,
,,,,,,23.399999999999999,3.5206527709960938,
,,,,,,23.5,3.6407318115234375,
,,,,,,23.600000000000001,3.7582626342773438,
,,,,,,23.699999999999999,3.8681259155273438,
,,,,,,23.800000000000001,3.977996826171875,
,,,,,,23.899999999999999,4.1312942504882812,
,,,,,,24,4.2973709106445312,
,,,,,,24.100000000000001,4.3970108032226562,
,,,,,,24.199999999999999,4.437896728515625,
,,,,,,24.300000000000001,4.3765716552734375,
,,,,,,24.399999999999999,4.2513809204101562,
,,,,,,24.5,4.1542892456054688,
,,,,,,24.600000000000001,4.069976806640625,
,,,,,,24.699999999999999,4.0035476684570312,
,,,,,,24.800000000000001,3.9422225952148438,
,,,,,,24.899999999999999,3.8911209106445312,
,,,,,,25,3.829803466796875,
,,,,,,25.100000000000001,3.748046875,
,,,,,,25.199999999999999,3.6765060424804688,
,,,,,,25.300000000000001,3.6356277465820312,
,,,,,,25.399999999999999,3.5947418212890625,
,,,,,,25.5,3.5308685302734375,
,,,,,,25.600000000000001,3.4669952392578125,
,,,,,,25.699999999999999,3.3954544067382812,
,,,,,,25.800000000000001,3.3315811157226562,
,,,,,,25.899999999999999,3.3060302734375,
,,,,,,26,3.2855911254882812,
,,,,,,26.100000000000001,3.2523727416992188,
,,,,,,26.199999999999999,3.221710205078125,
,,,,,,26.300000000000001,3.1987152099609375,
,,,,,,26.399999999999999,3.1833877563476562,
,,,,,,26.5,3.1603927612304688,
,,,,,,26.600000000000001,3.13995361328125,
,,,,,,26.699999999999999,3.1322860717773438,
,,,,,,26.800000000000001,3.1246261596679688,
,,,,,,26.899999999999999,3.1195144653320312,
,,,,,,27,3.111846923828125,
,,,,,,27.100000000000001,3.0965194702148438,
,,,,,,27.199999999999999,3.0786361694335938,
,,,,,,27.300000000000001,3.0811920166015625,
,,,,,,27.399999999999999,3.0965194702148438,
,,,,,,27.5,3.1067352294921875,
,,,,,,27.600000000000001,3.1144027709960938,
,,,,,,27.699999999999999,3.1195144653320312,
,,,,,,27.800000000000001,3.1348419189453125,
,,,,,,27.899999999999999,3.1706161499023438,
,,,,,,28,3.23193359375,
,,,,,,28.100000000000001,3.3085861206054688,
,,,,,,28.199999999999999,3.387786865234375,
,,,,,,28.300000000000001,3.4644393920898438,
,,,,,,28.399999999999999,3.5410919189453125,
,,,,,,28.5,3.6228485107421875,
,,,,,,28.600000000000001,3.7071609497070312,
,,,,,,28.699999999999999,3.7991409301757812,
,,,,,,28.800000000000001,3.8987884521484375,
,,,,,,28.899999999999999,3.9882125854492188,
,,,,,,29,4.0546417236328125,
,,,,,,29.100000000000001,4.087860107421875,
,,,,,,29.199999999999999,4.0980758666992188,
,,,,,,29.300000000000001,4.0623092651367188,
,,,,,,29.399999999999999,3.977996826171875,
,,,,,,29.5,3.8706817626953125,
,,,,,,29.600000000000001,3.7710418701171875,
,,,,,,29.699999999999999,3.6841659545898438,
,,,,,,29.800000000000001,3.6024093627929688,
,,,,,,29.899999999999999,3.5206527709960938,
,,,,,,30,3.4363327026367188,12.106537818908691
,,,,,,30.100000000000001,3.3571319580078125,
,,,,,,30.199999999999999,3.2932510375976562,
,,,,,,30.300000000000001,3.2447052001953125,
,,,,,,30.399999999999999,3.1910552978515625,
,,,,,,30.5,3.1373977661132812,
,,,,,,30.600000000000001,3.0990753173828125,
,,,,,,30.699999999999999,3.083740234375,
,,,,,,30.800000000000001,3.0709686279296875,
,,,,,,30.899999999999999,3.0479736328125,
,,,,,,31,3.0249786376953125,
,,,,,,31.100000000000001,3.0045394897460938,
,,,,,,31.199999999999999,2.984100341796875,
,,,,,,31.300000000000001,2.973876953125,
,,,,,,31.399999999999999,2.973876953125,
,,,,,,31.5,2.9687652587890625,
,,,,,,31.600000000000001,2.9636611938476562,
,,,,,,31.699999999999999,2.9713211059570312,
,,,,,,31.800000000000001,2.973876953125,
,,,,,,31.899999999999999,2.9508819580078125,
,,,,,,32,2.9355545043945312,
,,,,,,32.100000000000001,2.945770263671875,
,,,,,,32.200000000000003,2.9636611938476562,
